	Year	Artist	Track	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Artist Popilarity	Song Popularity	Duration_ms	Time Signature
4083	2001	Acoustic Alchemy	Aart	0.673	0.67	2	-8.948	0	0.0302	0.314	0.795	0.0758	0.776	96.999	46	22	314667	4
4084	2006	Eisbrecher	Antikörper	0.602	0.864	10	-5.427	0	0.0664	0.0195	0.0097	0.196	0.335	100.02	56	24	249653	4
4085	2010	Grimes	Geidi Primes	0.648	0.556	5	-10.807	1	0.0515	0.0152	0.000968	0.185	0.236	127.934	66	37	155685	4
4086	2006	Los Originales De San Juan	El Tequilero	0.736	0.713	3	-6.687	1	0.227	0.368	0.0	0.138	0.763	102.273	64	47	190507	4
4087	2010	Local H	Local H's Awesome Mix Tape #1	0.231	0.88	1	-5.741	1	0.0561	0.000662	4.32e-06	0.529	0.171	176.617	49	45	314080	4
4088	2004	Norah Jones	Feels Like Home	0.549	0.342	10	-11.871	1	0.0368	0.859	0.00418	0.113	0.363	124.101	76	44	223840	4
4089	2011	Daniel Tosh	Happy Thoughts	0.561	0.96	1	-5.781	1	0.93	0.776	0.0	0.69	0.236	88.824	56	46	334680	4
4090	2015	FIDLAR	Too	0.731	0.436	0	-11.611	1	0.0429	0.585	0.0383	0.119	0.44	112.988	58	36	228413	4
4091	2004	Tom Waits	Real Gone (Remastered)	0.363	0.808	1	-7.139	1	0.105	0.322	0.21	0.319	0.676	90.822	64	30	238160	4
4092	2007	Linkin Park	Minutes To Midnight (Explicit Version)	0.529	0.967	1	-3.647	0	0.0508	0.114	0.0	0.61	0.596	140.127	86	72	166373	4
4093	2011	Portugal. The Man	In The Mountain In The Cloud	0.533	0.676	2	-6.469	1	0.065	0.0832	0.000224	0.122	0.377	76.444	76	50	266093	4
4094	2003	Josh Groban	Closer (U.S. Version)	0.248	0.294	2	-11.289	1	0.0398	0.759	0.00248	0.0927	0.0744	130.677	69	34	363667	3
4095	2001	AGATA	No Puedo Vivir Sin Ti	0.503	0.464	9	-6.617	1	0.0317	0.346	0.0	0.145	0.0912	75.526	35	25	169640	4
4096	2001	Gov't Mule	The Deep End Vol. 1	0.328	0.851	0	-4.308	0	0.0385	0.00476	0.242	0.146	0.822	181.055	0	23	367507	4
4097	2007	The Notorious B.I.G.	Greatest Hits (Explicit Version)	0.771	0.865	6	-6.15	1	0.368	0.232	7.08e-06	0.0909	0.372	85.94	80	46	219227	4
4098	2015	Jinsang	Meditation - EP	0.539	0.775	1	-8.054	1	0.0716	0.951	0.901	0.193	0.456	93.919	68	49	115995	4
4099	2004	Lamb of God	Ashes Of The Wake	0.27	0.985	2	-3.375	1	0.118	0.00198	0.0221	0.408	0.143	89.425	66	52	240333	4
4100	2005	Richard Hell	Spurts: The Richard Hell Story (2013 Remaster)	0.44	0.904	11	-4.409	0	0.177	0.275	7.45e-06	0.106	0.546	138.104	40	49	167840	4
4101	2016	Elena Kats-Chernin	Butterflying: Piano Music By Elena Kats-Chernin	0.388	0.00484	9	-32.45	0	0.0416	0.989	0.881	0.0588	0.0689	132.89	41	45	203160	3
4102	2001	Al Green	Testify: The Best Of The A&M Years	0.786	0.512	5	-15.012	1	0.0818	0.0948	0.000658	0.0715	0.702	92.591	69	39	261333	4
4103	2004	Ja Rule	R.U.L.E.	0.764	0.72	11	-4.147	1	0.179	0.0379	0.0	0.117	0.476	99.095	73	51	269133	4
4104	2005	Cantoma	Cantoma (Deluxe)	0.691	0.739	1	-9.384	1	0.0396	0.0117	0.669	0.209	0.47	100.495	48	32	353173	4
4105	2007	Daft Punk	Alive 2007	0.58	0.786	6	-9.979	1	0.0675	6.53e-05	0.207	0.461	0.558	126.004	82	49	290840	4
4106	2000	Linkin Park	Hybrid Theory (U.S. Version)	0.524	0.939	9	-3.994	1	0.113	0.00022	0.0	0.623	0.661	150.184	86	47	184867	4
4107	2013	MS MR	Secondhand Rapture	0.594	0.649	0	-6.065	1	0.0289	0.0561	0.00345	0.105	0.125	144.961	52	41	208293	4
4108	2016	Bryce Vine	Sunflower Seeds	0.723	0.593	10	-5.816	1	0.0308	0.194	5.35e-05	0.217	0.273	92.985	73	59	228610	4
4109	2007	The Pigeon Detectives	Wait for Me	0.473	0.913	4	-1.673	1	0.0544	0.0637	0.0	0.295	0.548	146.957	51	54	127400	4
4110	2006	Radio 4	Enemies Like This	0.333	0.966	4	-1.15	0	0.0704	1.31e-06	0.571	0.222	0.562	160.003	29	27	261400	4
4111	2014	Steve Acho	One Step Up	0.582	0.273	2	-7.951	1	0.0333	0.944	0.0	0.0979	0.357	76.466	60	53	180140	4
