	Year	Artist	Track	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Artist Popilarity	Song Popularity	Duration_ms	Time Signature
0	2010	Weezer	Hurley	0.629	0.828	0	-5.721	1	0.047	0.00119	0.0	0.228	0.963	121.976	75	31	208187	4
1	2010	Týr	By the Light of the Northern Star	0.435	0.939	11	-4.906	0	0.0611	8.18e-05	0.528	0.322	0.706	197.87	60	34	289427	3
2	2009	Alex Campos	Te Puedo Sentir	0.576	0.967	11	-4.173	1	0.0608	0.00326	0.0	0.753	0.292	103.064	62	36	230947	4
3	2004	Strung Out	Exile in Oblivion	0.475	0.98	2	-3.846	1	0.075	5.76e-05	0.77	0.143	0.552	107.036	50	29	210693	4
4	2009	Various Artists	Cubana Celebration	0.394	0.374	5	-12.22	1	0.038	0.337	0.0	0.336	0.645	134.336	8	34	219760	3
5	2017	Reba McEntire	My Kind Of Christmas	0.269	0.213	7	-9.423	1	0.0306	0.892	0.0	0.105	0.143	109.47	62	49	247747	3
6	2000	Nine Inch Nails	Fixed	0.572	0.88	0	-10.254	1	0.0621	0.000916	0.742	0.724	0.119	119.873	69	21	368800	4
7	2000	Bibi und Tina	Folge 38: Der Glücksbringer	0.71	0.516	1	-15.625	1	0.9	0.568	0.0	0.533	0.681	121.078	76	28	93180	5
8	2003	The Format	Interventions and Lullabies	0.335	0.821	1	-4.241	0	0.0307	0.0029	0.000246	0.0672	0.664	79.622	44	26	198667	4
9	2009	AFI	Crash Love	0.237	0.915	8	-5.866	0	0.0799	8.34e-05	0.0257	0.139	0.339	128.939	64	32	225267	4
10	2004	Emerson Drive	What If?	0.632	0.744	0	-5.762	1	0.0267	0.00602	0.0	0.336	0.27	115.967	48	25	206667	4
11	2008	DJ Khaled	We Global	0.64	0.883	5	-4.011	0	0.0497	0.00866	0.0	0.488	0.379	130.005	82	48	272093	4
12	2005	Bun B	Trill	0.693	0.691	1	-3.225	1	0.294	0.0362	0.0	0.184	0.455	75.013	63	27	311307	4
13	2010	Middle Class Rut	No Name No Color	0.319	0.947	11	-3.675	1	0.144	0.0326	2.56e-05	0.147	0.255	188.069	40	35	287413	4
14	2009	Jack Jezzro	Bossa Nova Christmas	0.512	0.292	7	-15.676	1	0.0375	0.937	0.928	0.126	0.351	109.051	57	32	272733	4
15	2008	Zac Brown Band	The Foundation	0.453	0.412	1	-7.539	1	0.0276	0.24	0.00021	0.101	0.282	75.752	75	57	228653	4
16	2012	Band Of Skulls	Sweet Sour	0.35	0.658	9	-6.553	1	0.0568	0.0182	3.79e-06	0.073	0.593	156.295	53	29	184773	4
17	2017	Various Artists	Chillhop Essentials Fall 2017	0.594	0.32	1	-10.344	0	0.567	0.452	0.934	0.123	0.566	155.782	8	56	137927	4
18	2007	Dave Matthews	Live At Radio City	0.371	0.391	7	-10.183	1	0.0291	0.84	0.000185	0.962	0.388	89.9	70	32	252027	4
19	2015	The Dip	The Dip	0.607	0.491	11	-6.643	1	0.0888	0.425	0.000507	0.109	0.69	88.781	52	47	172400	4
20	2014	Various Artists	90s 100 Hits	0.882	0.456	7	-9.163	1	0.188	0.0178	0.000186	0.127	0.452	100.362	8	46	249067	4
21	2010	Clay Walker	Top 10	0.564	0.806	4	-8.227	1	0.063	0.169	0.0	0.0663	0.633	176.405	62	47	183707	4
22	2000	At The Drive In	Relationship Of Command	0.234	0.886	4	-4.421	0	0.0972	0.0401	0.0227	0.327	0.404	143.122	52	34	325213	4
23	2016	Queen	Queen On Air	0.389	0.309	9	-12.808	1	0.032	0.396	5.76e-05	0.0974	0.306	99.751	96	41	251840	4
24	2016	Hillsong Worship	Let There Be Light (Deluxe)	0.267	0.437	0	-9.558	1	0.0313	0.0576	0.000313	0.987	0.131	141.651	77	49	451947	4
25	2006	Amon Amarth	With Oden On Our Side	0.231	0.932	11	-4.051	1	0.0654	2.14e-06	0.513	0.0832	0.106	174.046	65	46	229773	4
26	2008	Wes Montgomery	Wes Montgomery Plays For Lovers	0.585	0.0773	3	-20.858	1	0.0476	0.993	0.923	0.104	0.0761	122.16	57	35	294280	4
27	2002	Killswitch Engage	Alive or Just Breathing [Topshelf Edition]	0.535	0.939	0	-4.928	0	0.0478	0.000189	0.0331	0.121	0.178	94.988	67	30	342133	4
28	2016	J. Stalin	On Behalf of the Streets 2	0.809	0.58	2	-6.248	1	0.33	0.00947	0.0	0.116	0.161	88.537	51	40	223729	4
29	2013	Emika	Dva	0.614	0.375	9	-15.874	1	0.0349	0.424	0.773	0.189	0.075	112.972	42	41	236000	4
30	2008	Cast Of Mamma Mia The Movie	Mamma Mia! The Movie Soundtrack	0.705	0.738	5	-5.402	0	0.0289	0.0102	0.000189	0.308	0.504	133.027	49	65	269440	4
31	2004	Montez de Durango	En Vivo Desde Chicago	0.546	0.731	5	-5.739	1	0.0427	0.0567	0.0	0.393	0.912	122.735	54	34	168387	4
32	2015	Joyner Lucas	Along Came Joyner	0.577	0.653	7	-6.407	1	0.293	0.019	0.0	0.662	0.46	147.939	82	51	350227	4
33	2009	Richie Ray	La Herencia	0.561	0.644	9	-9.596	0	0.0377	0.775	0.00943	0.106	0.956	111.05	43	46	375600	4
34	2013	Ariana Grande	Yours Truly	0.766	0.847	6	-3.795	1	0.0616	0.0554	0.0	0.0361	0.853	105.006	96	48	214280	4
35	2002	Elvis Presley	A Little Less Conversation: Elvis vs JXL	0.515	0.844	4	-5.605	1	0.0955	0.0579	2.01e-05	0.195	0.931	113.187	80	30	99320	4
36	2007	Tech N9ne	Misery Loves Kompany	0.619	0.831	11	-3.836	1	0.0772	0.0715	0.0	0.179	0.392	148.342	73	28	346627	4
37	2014	Dillon Chase	BDFFRNT	0.804	0.883	1	-6.7	1	0.247	0.114	0.0	0.557	0.623	100.021	39	45	231600	4
38	2013	Eminem	The Marshall Mathers LP2 (Deluxe)	0.425	0.83	5	-8.808	1	0.366	0.528	0.0383	0.785	0.126	141.179	96	50	55338	4
39	2000	Dr. Happiness	30 Second Happiness	0.607	0.28	10	-13.637	1	0.0396	0.745	0.0	0.523	0.43	125.035	26	23	34132	4
40	2013	The Wonder Years	The Greatest Generation	0.363	0.94	8	-5.509	1	0.0867	6.79e-05	0.00038	0.319	0.217	91.05	59	37	234939	4
41	2006	John Berry	Hits	0.668	0.867	10	-4.303	1	0.0301	0.0446	0.0	0.073	0.737	119.127	35	25	244653	4
42	2009	Various Artists	Punk Goes Pop, Vol. 2	0.634	0.75	11	-5.27	0	0.0344	0.0369	0.0	0.131	0.699	125.013	8	45	241800	4
43	2005	Grupo Maravilla	Marianita	0.735	0.64	10	-7.586	0	0.0404	0.0477	6.21e-06	0.0482	0.932	165.009	45	28	210373	4
44	2010	David Guetta	One More Love	0.561	0.852	8	-6.871	1	0.251	0.00145	5.92e-06	0.274	0.402	129.971	91	31	209227	4
45	2013	Kaskade	Atmosphere	0.585	0.77	3	-4.604	1	0.0396	0.0227	5.6e-06	0.0692	0.393	122.987	72	50	231453	4
46	2004	Soneros De Verdad	A Buena Vista: Barrio De La Habana	0.591	0.75	4	-5.072	0	0.106	0.509	0.0	0.0897	0.566	87.602	30	35	193693	4
47	2005	Magnolia Electric Co.	What Comes After The Blues	0.496	0.409	7	-11.912	1	0.0339	0.246	0.112	0.112	0.25	120.369	41	33	268547	4
48	2003	The Distillers	Coral Fang (Alternate Cover PA Version)	0.393	0.905	0	-4.167	1	0.0912	0.17	9.75e-06	0.236	0.414	168.902	53	46	189707	4
49	2014	La Leyenda	Mano a Mano	0.727	0.604	8	-8.227	1	0.0542	0.131	0.0	0.0635	0.887	156.013	54	34	209493	4
50	2008	Steven Halpern	In the Om Zone 2.0	0.158	0.0823	11	-19.283	1	0.044	0.936	0.98	0.0962	0.0325	131.668	56	29	369053	3
51	2002	Tech N9ne	Absolute Power	0.589	0.909	9	-1.734	1	0.402	0.259	0.0	0.224	0.63	77.289	73	28	285107	4
52	2007	Justice	Justice	0.649	0.877	0	-4.679	1	0.338	0.0335	1.43e-06	0.35	0.781	115.03	62	43	216893	4
53	2015	Televisor	Venture - EP	0.711	0.792	0	-5.89	0	0.111	0.0656	5.59e-05	0.371	0.766	120.013	44	46	219273	4
54	2016	Coast Modern	The Way It Was	0.595	0.749	4	-5.992	1	0.0541	0.066	4.24e-05	0.0798	0.636	80.033	59	55	229667	4
55	2011	DJ Drama	Third Power	0.61	0.767	10	-6.087	0	0.0283	0.0132	0.0	0.36	0.444	136.034	62	31	263920	4
56	2011	Stateless	I'm On Fire	0.466	0.232	6	-12.425	0	0.03	0.949	0.00778	0.0656	0.203	139.685	45	35	301901	4
57	2009	The Used	Artwork	0.482	0.963	7	-3.779	1	0.144	5.72e-05	0.00384	0.35	0.223	140.047	63	34	197867	4
58	2016	RADWIMPS	Your Name.	0.496	0.462	6	-6.189	1	0.0307	0.245	0.0	0.282	0.514	167.936	66	57	344053	4
59	2001	Gorillaz	Gorillaz	0.58	0.586	7	-9.318	1	0.173	0.248	0.124	0.0968	0.42	81.748	80	42	282973	4
60	2000	Wilfrido Vargas	Serie 2000	0.725	0.914	10	-4.004	1	0.152	0.771	1.04e-06	0.0832	0.871	155.206	47	27	255267	4
61	2005	New Order	Singles (Remastered)	0.775	0.743	0	-8.794	1	0.0306	0.000868	0.0721	0.177	0.649	125.612	69	46	324413	4
62	2009	Relient K	Forget And Not Slow Down	0.566	0.939	10	-3.9	1	0.116	0.0891	0.0	0.162	0.633	99.958	61	41	201413	4
63	2005	Christopher Cross	Rhino Hi-Five: Christopher Cross	0.319	0.398	9	-11.097	1	0.0381	0.638	0.000245	0.25	0.161	73.647	63	52	256920	4
64	2006	My Chemical Romance	Life on the Murder Scene	0.211	0.98	9	-5.824	1	0.22	0.0022	0.0	0.741	0.298	185.415	77	44	184720	4
65	2006	Primus	They Can't All Be Zingers	0.608	0.964	2	-3.747	1	0.0584	0.0132	0.566	0.0614	0.853	123.093	60	33	296400	4
66	2007	She Wants Revenge	This Is Forever	0.601	0.935	8	-3.309	1	0.0771	0.0711	0.0558	0.0739	0.36	144.05	54	31	299560	4
67	2013	Wild Nothing	Empty Estate	0.614	0.869	7	-8.6	1	0.0417	0.000339	0.398	0.382	0.679	89.554	61	33	227160	4
68	2002	John Williams	Harry Potter and The Chamber of Secrets/ Original Motion Picture Soundtrack	0.415	0.335	7	-16.82	1	0.0407	0.958	0.899	0.168	0.15	79.864	76	43	248187	4
69	2005	Bun B	Trill	0.835	0.83	6	-3.751	1	0.302	0.0361	0.0	0.551	0.657	81.128	63	27	249813	4
70	2012	T.I.	Trouble Man: Heavy is the Head	0.58	0.874	1	-5.552	1	0.193	0.0254	0.0	0.155	0.315	157.988	80	38	348640	4
71	2015	Jason Derulo	Everything Is 4	0.75	0.683	9	-4.829	0	0.12	0.0462	1.32e-06	0.297	0.539	111.066	85	65	200492	4
72	2014	David Bisbal	12 Favoritas	0.735	0.933	3	-4.546	1	0.0701	0.122	0.0	0.294	0.796	132.034	75	40	212093	4
73	2007	Black Lips	Good Bad Not Evil	0.33	0.767	2	-7.659	1	0.12	0.0048	1.59e-05	0.162	0.826	153.066	50	28	169360	4
74	2008	Jorge Quintero	Hip Hop and Rnb Instrmentals	0.591	0.75	1	-6.599	0	0.0479	0.342	0.363	0.0804	0.385	149.931	49	61	178026	4
75	2015	Devarrow	The Great Escape	0.66	0.618	8	-8.136	1	0.04	0.666	0.00176	0.184	0.302	108.942	44	55	195680	4
76	2017	Atlas Genius	63 Days	0.677	0.686	1	-6.518	0	0.0866	0.0122	0.0	0.162	0.763	159.973	61	57	187880	4
77	2011	King Krule	King Krule	0.511	0.564	4	-8.353	1	0.0394	0.819	0.827	0.286	0.531	60.078	63	37	71240	4
78	2008	Los Angeles De Charly	Luna Desnuda	0.69	0.647	5	-3.719	0	0.0338	0.431	1.21e-05	0.0324	0.778	79.951	62	31	201893	4
79	2012	Glee Cast	Glee: The Music, The Christmas Album Vol. 3	0.623	0.738	3	-5.709	1	0.0281	0.18	0.0	0.146	0.874	152.066	78	68	152947	4
80	2004	Lil Jon & The East Side Boyz	Crunk Juice	0.744	0.305	4	-12.019	0	0.883	0.88	0.0	0.607	0.843	75.101	65	26	81627	3
81	2013	Unknown Mortal Orchestra	II	0.483	0.399	6	-13.652	0	0.0595	0.0411	0.0112	0.0936	0.141	83.2	68	44	283507	4
82	2002	Weezer	Maladroit	0.591	0.666	11	-8.062	0	0.0463	0.0012	0.000686	0.088	0.451	97.696	75	39	158592	4
83	2006	Grupo Niche	Sólo Hits	0.651	0.819	2	-6.355	0	0.051	0.586	2.34e-06	0.0624	0.906	96.178	65	45	309893	4
84	2015	Jay Hayden	Stranger	0.735	0.57	6	-7.488	0	0.15	0.385	0.000392	0.0958	0.641	117.935	31	42	234027	4
85	2006	P-Funk All Stars	Hydraulic Funk	0.768	0.586	0	-11.437	1	0.0352	0.308	0.0885	0.228	0.957	109.49	25	26	414333	4
86	2014	MAGIC!	Rude (Zedd Remix)	0.598	0.836	1	-2.388	1	0.0457	0.0324	2.44e-06	0.0751	0.343	130.009	80	56	273231	4
87	2006	Juice Music	50 Of The Best Kids Songs Ever!	0.861	0.526	5	-9.335	1	0.0673	0.622	0.0	0.181	0.971	150.04	50	32	170400	4
88	2013	Starbomb	Starbomb Ex Plus Alpha	0.75	0.668	9	-5.913	0	0.227	0.232	0.0	0.112	0.507	90.021	54	36	161437	4
89	2012	Two Door Cinema Club	Beacon	0.602	0.672	9	-7.386	1	0.0284	0.000109	0.703	0.151	0.243	123.989	72	37	216400	4
90	2014	Dave Matthews Band	Under the Table and Dreaming (Expanded Edition)	0.639	0.942	2	-4.68	1	0.05	0.12	0.000445	0.0682	0.636	119.673	70	48	222333	4
91	2016	Drake	Views	0.711	0.254	1	-14.404	0	0.0863	0.0829	0.0	0.0865	0.253	79.904	100	68	238120	4
92	2011	Gavin DeGraw	Sweeter	0.486	0.74	10	-4.307	1	0.0438	0.0217	0.0	0.326	0.488	139.923	69	58	211387	4
93	2012	Ha*Ash	A Tiempo	0.634	0.887	5	-3.766	1	0.0336	0.0418	0.0	0.306	0.371	140.069	77	56	207053	4
94	2015	The Aston Shuffle	Don't Let Go	0.609	0.854	9	-5.445	0	0.0344	0.000883	0.63	0.123	0.213	118.0	48	51	219707	4
95	2010	Timbiriche	Timbiriche XII	0.358	0.533	8	-7.858	1	0.033	0.654	0.000105	0.201	0.35	191.567	66	48	285867	4
96	2016	Big Gigantic	Brighter Future	0.532	0.94	1	-3.4	1	0.0421	0.00125	0.85	0.211	0.288	93.957	62	45	237447	4
97	2006	E-40	My Ghetto Report Card	0.857	0.751	1	-7.086	1	0.323	0.00642	0.000257	0.104	0.293	106.888	73	55	237667	4
98	2017	Wrabel	It's You	0.538	0.76	2	-3.828	1	0.0282	0.0874	0.0	0.0692	0.249	135.072	66	58	200000	4
99	2001	La Secta AllStar	La Secta All Star	0.603	0.871	2	-5.568	1	0.0572	0.000201	0.0	0.052	0.6	116.079	47	28	255027	4
100	2014	Tatiana Manaois	Helplessly	0.51	0.185	11	-13.651	1	0.0644	0.925	0.0	0.122	0.418	79.092	60	65	185480	4
101	2007	Dario Marianelli	Atonement OST	0.171	0.0847	10	-21.936	0	0.038	0.919	0.876	0.151	0.0384	113.26	68	33	212413	3
102	2009	Timbiriche	Timbiriche 7	0.725	0.379	2	-13.498	1	0.0333	0.599	0.0	0.0965	0.821	114.139	66	67	184947	4
103	2016	Killswitch Engage	Incarnate	0.486	0.98	0	-3.208	0	0.0872	7.24e-05	0.000562	0.147	0.0848	97.014	67	47	269560	3
104	2011	Various Artists	Disney Princess: Fairy Tale Songs	0.663	0.424	4	-8.368	1	0.0336	0.159	0.0	0.0884	0.449	107.867	8	34	152507	4
105	2009	Various Artists	AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner	0.0727	0.276	11	-19.099	0	0.0404	0.519	0.88	0.179	0.0604	76.552	8	36	407280	4
106	2001	AGATA	No Puedo Vivir Sin Ti	0.279	0.297	5	-7.35	1	0.0297	0.924	0.0396	0.142	0.0927	74.485	35	25	143427	4
107	2016	Joe Hertz	Stay Lost (Cabu Remix)	0.572	0.498	2	-10.484	0	0.431	0.0471	4.67e-06	0.247	0.549	109.192	60	62	226909	4
108	2004	Beastie Boys	To The 5 Boroughs	0.816	0.84	4	-5.917	0	0.0653	0.213	1.74e-06	0.152	0.656	101.02	71	36	166813	4
109	2010	Sleep Baby Sleep	Nature Sounds Music for Sleeping Babies	0.375	0.128	0	-20.942	1	0.045	0.973	0.959	0.371	0.594	128.686	68	42	98248	4
110	2001	Vidyasagar	Alli Thantha Vaanam (Original Motion Picture Soundtrack)	0.578	0.579	0	-9.922	1	0.151	0.0771	0.000524	0.0815	0.64	105.279	38	32	265840	3
111	2015	David Allan Coe	The Essential David Allan Coe	0.59	0.521	0	-11.07	1	0.0319	0.14	0.0	0.43	0.51	105.818	58	46	314360	4
112	2015	Jack Johnson	Seasick Dream	0.674	0.406	0	-8.731	1	0.0393	0.957	0.017	0.25	0.448	116.28	80	56	200360	4
113	2007	Koop	Koop Islands	0.666	0.569	5	-7.196	0	0.0302	0.674	0.048	0.197	0.727	105.111	54	26	303093	4
114	2003	P!nk	Try This	0.575	0.927	7	-2.702	1	0.0489	0.0112	0.0	0.419	0.849	135.5	83	43	193600	4
115	2004	Michael McLean	The Best Two Years	0.759	0.644	2	-10.753	1	0.0687	0.148	0.000643	0.0756	0.552	91.999	24	24	211667	4
116	2008	Paramore	The Final RIOT! (Live)	0.439	0.965	5	-5.525	0	0.239	0.000417	3.65e-06	0.289	0.28	173.121	79	38	279800	4
117	2005	The Jacka	The Jack Artist	0.696	0.796	5	-6.071	1	0.118	0.279	0.0	0.0674	0.503	96.264	50	29	214520	4
118	2013	Mother Goose Club	Mother Goose Club Sings Nursery Rhymes Vol. 4: Row, Row, Row Your Rhyme	0.846	0.436	1	-4.88	1	0.0468	0.614	0.0	0.0359	0.929	111.055	56	37	113902	4
119	2003	Mannheim Steamroller	Halloween	0.811	0.354	7	-13.376	1	0.132	0.199	0.524	0.0742	0.979	134.989	56	23	180880	3
120	2011	Andrew Lloyd Webber	The Phantom Of The Opera At The Royal Albert Hall	0.519	0.736	0	-10.965	0	0.071	0.138	0.000103	0.0977	0.331	119.927	66	46	316853	4
121	2011	Ed Sheeran	+	0.642	0.289	9	-9.918	1	0.0367	0.669	0.0	0.18	0.407	84.996	93	76	258373	4
122	2006	The Roots	Game Theory	0.849	0.668	2	-7.858	1	0.263	0.0139	0.00376	0.0565	0.717	92.676	64	24	220520	4
123	2004	Kevin Spacey	"Beyond The Sea (with bonus track ""Just One Of Those Things"" US Release)"	0.483	0.571	0	-6.152	0	0.0543	0.516	0.0	0.0511	0.731	169.619	33	24	184347	4
124	2005	Various Artists	Clasicos de Puerto Rico, Vol. 4	0.711	0.746	2	-8.935	1	0.0387	0.504	0.0	0.091	0.967	131.829	8	31	213840	4
125	2003	King Geedorah	Take Me To Your Leader	0.52	0.87	9	-2.108	0	0.257	0.286	0.0	0.432	0.747	92.315	46	34	218773	4
126	2013	Eminem	The Marshall Mathers LP2	0.534	0.906	1	-2.316	1	0.349	0.471	0.0	0.782	0.499	174.058	96	34	288984	4
127	2016	She & Him	Christmas Party	0.562	0.29	5	-10.427	1	0.0474	0.919	1.93e-06	0.124	0.361	72.88	59	41	132013	4
128	2008	The Cheetah Girls	The Cheetah Girls: One World	0.72	0.894	11	-4.258	0	0.0529	0.0139	1.73e-06	0.151	0.939	132.067	53	36	193960	4
129	2001	Cowboy Junkies	Best Of Cowboy Junkies	0.451	0.266	7	-17.655	1	0.0358	0.455	6.6e-06	0.144	0.18	134.656	49	27	295267	4
130	2012	Justice Crew	Live By The Words	0.811	0.709	9	-4.504	1	0.0455	0.0849	1.86e-06	0.221	0.859	128.02	47	44	216053	4
131	2000	Los Freddy's	Con Banda	0.638	0.349	9	-8.247	0	0.0301	0.457	0.0	0.0668	0.94	103.081	47	29	166813	4
132	2000	Hank Williams, Jr.	The Bocephus Box Set	0.719	0.594	7	-8.739	1	0.0288	0.186	0.0	0.0363	0.658	110.7	66	18	160027	4
133	2009	Various Artists	Total Reggae: Classic Roots	0.777	0.418	8	-8.084	0	0.112	0.137	0.011	0.263	0.606	73.283	8	42	173560	4
134	2001	Laura Pausini	The Best of Laura Pausini - E Ritorno Da Te	0.579	0.831	7	-2.927	1	0.0517	0.165	0.0	0.104	0.555	188.054	73	34	186160	4
135	2009	Mi Banda El Mexicano	El Mexicano Mi Banda El Mexicano En Vivo	0.379	0.944	0	-6.497	1	0.241	0.0614	0.000126	0.505	0.217	137.015	59	32	99767	4
136	2005	Connie Francis	Gold	0.594	0.663	11	-7.45	0	0.0359	0.565	2.19e-06	0.528	0.91	139.227	55	32	133533	4
137	2008	Bullet For My Valentine	Scream Aim Fire	0.359	0.994	2	-4.232	1	0.084	0.000116	5.89e-06	0.0816	0.16	100.146	73	48	266440	4
138	2004	G. Love & Special Sauce	The Hustle	0.778	0.852	0	-6.126	1	0.0861	0.321	3.9e-06	0.0513	0.937	94.372	52	24	164133	4
139	2013	Sons Of Zion	Tell Her	0.677	0.705	7	-7.836	1	0.0436	0.0753	0.0	0.121	0.917	151.946	56	43	233000	4
140	2010	Supermerk2	Que calor	0.83	0.868	7	-3.78	1	0.0585	0.197	1.29e-06	0.159	0.898	87.422	53	36	244653	4
141	2008	Hercules & Love Affair	Blind	0.716	0.914	7	-6.907	0	0.0341	0.00542	0.000218	0.0504	0.69	118.579	57	59	345560	4
142	2009	David Archuleta	Christmas From The Heart	0.11	0.144	9	-13.036	1	0.0361	0.708	2.62e-05	0.11	0.0381	85.634	63	33	289213	4
143	2005	Motion City Soundtrack	Commit This To Memory	0.525	0.881	8	-5.009	1	0.0727	0.000297	0.000328	0.266	0.628	92.968	58	33	255867	4
144	2011	The Damn Quails	Down the Hatch	0.519	0.642	7	-5.191	1	0.0294	0.0983	2.54e-06	0.108	0.395	118.114	40	33	303675	3
145	2003	Michael Mandrell and Benjy Wertheimer	Anjali	0.675	0.294	7	-15.845	1	0.0348	0.832	0.835	0.0784	0.468	100.004	37	43	559813	4
146	2009	Wooster	The Heights of Things	0.753	0.541	7	-8.177	1	0.0464	0.475	1.67e-05	0.109	0.547	139.96	26	37	237133	4
147	2002	Leonard Cohen	The Essential Leonard Cohen	0.663	0.596	5	-10.592	0	0.0336	0.0753	2.7e-05	0.373	0.681	122.511	69	32	350400	4
148	2005	Marcos Witt	En Adoracion	0.516	0.267	2	-11.905	1	0.0298	0.789	0.0	0.264	0.191	116.091	63	35	162508	4
149	2012	Pentatonix	PTX, Vol. 1	0.59	0.601	4	-7.489	0	0.0379	0.0304	0.0	0.157	0.341	128.047	80	39	233667	4
150	2002	Sugarcult	Start Static	0.55	0.864	11	-4.59	1	0.0304	0.00017	0.0	0.365	0.517	99.016	56	32	206133	4
151	2000	Wes Montgomery	Incredible Jazz Guitar	0.379	0.35	7	-12.353	1	0.0504	0.924	0.768	0.122	0.473	204.049	57	34	377867	4
152	2015	NF	Mansion	0.803	0.67	8	-7.057	1	0.221	0.0715	4.33e-05	0.098	0.144	116.006	83	61	218600	4
153	2009	Regina Spektor	Far (Deluxe Version)	0.546	0.5	0	-8.881	1	0.0379	0.802	0.00108	0.107	0.449	150.92	66	32	195840	4
154	2013	Crystal Fighters	Cave Rave	0.571	0.89	11	-6.224	1	0.055	0.0682	2.68e-06	0.249	0.595	136.085	61	33	229240	4
155	2001	George Winston	Autumn	0.231	0.19	2	-18.332	1	0.0363	0.965	0.859	0.0981	0.0492	140.573	58	36	350880	3
156	2012	ミラクルミュージカル	Hawaii: Part II	0.753	0.774	7	-8.086	1	0.0504	0.27	0.589	0.0874	0.924	152.027	44	38	149949	4
157	2011	Jacuzzi Boys	Glazin'	0.276	0.775	11	-4.065	1	0.037	0.0111	0.0	0.181	0.579	78.47	40	46	203907	4
158	2012	Blake Shelton	Cheers, it's Christmas. (Deluxe Version)	0.713	0.481	11	-7.631	1	0.0364	0.579	0.0	0.32	0.55	119.874	75	40	208707	4
159	2006	Hank Williams III	Straight To Hell	0.59	0.959	9	-2.726	1	0.129	0.332	0.0	0.0805	0.748	139.949	54	36	188267	4
160	2004	The Countdown Kids	30 Playtime Songs	0.678	0.107	9	-16.225	1	0.0543	0.609	0.0	0.164	0.904	92.434	56	29	63013	4
161	2008	The Weepies	Hideaway	0.775	0.451	6	-8.764	1	0.0286	0.391	0.00207	0.114	0.897	111.989	52	28	166680	4
162	2000	Various Artists	O Brother, Where Art Thou? (Soundtrack)	0.508	0.416	7	-12.335	1	0.0308	0.901	0.282	0.126	0.426	115.802	8	33	90427	4
163	2004	Michael Giacchino	The Incredibles (Original Motion Picture Soundtrack)	0.347	0.568	7	-10.561	1	0.0399	0.32	0.898	0.0636	0.553	145.658	67	24	147587	4
164	2002	Los Temerarios	Una Lágrima No Basta	0.548	0.472	2	-7.842	1	0.0249	0.3	4.13e-06	0.32	0.102	78.011	70	31	238693	4
165	2017	Laura Hanson	Itsy Bitsy Spider	0.538	0.111	0	-24.039	1	0.0719	0.992	0.951	0.0772	0.293	69.906	53	56	90000	4
166	2002	Various Artists	"Devdas - An Adaptation Of Sarat Chandra Chattopadhyay's ""Devdas"""	0.585	0.715	10	-6.226	0	0.165	0.455	0.0	0.617	0.56	97.018	8	23	274800	4
167	2003	Various Artists	Lord Of The Rings 3-The Return Of The King (U.S. Version-Jewelcase)	0.0693	0.0663	4	-21.996	0	0.0439	0.97	0.948	0.102	0.0383	74.251	8	46	210373	3
168	2015	Pegboard Nerds	Pink Cloud - EP	0.405	0.768	0	-5.387	1	0.0898	0.0422	0.0	0.13	0.338	159.988	62	45	203569	4
169	2013	Various Artists	Great Jazz Pianists	0.42	0.136	0	-16.439	0	0.0434	0.907	0.568	0.119	0.228	178.975	8	52	278907	3
170	2000	OutKast	Stankonia	0.565	0.922	1	-5.561	0	0.368	0.0153	0.0	0.267	0.432	193.91	76	40	259693	4
171	2006	Diddy	Press Play	0.779	0.508	8	-5.66	1	0.0491	0.2	0.00072	0.442	0.687	103.93	75	39	328920	4
172	2003	Pet Shop Boys	PopArt: The Hits	0.648	0.947	4	-6.617	0	0.0369	0.0114	0.0567	0.105	0.602	113.255	68	33	245360	4
173	2006	Clipse	Hell Hath No Fury	0.683	0.581	7	-7.077	1	0.316	0.337	0.0	0.208	0.708	90.984	53	46	221907	4
174	2004	Various Artists	Halo 2, Vol. 1 (Original Soundtrack)	0.154	0.269	0	-20.939	0	0.0396	0.945	0.976	0.0983	0.0368	140.141	8	33	119173	4
175	2011	Queen	Queen 40 Limited Edition Collector's Box Set	0.325	0.834	4	-6.059	0	0.0874	0.0456	4.49e-05	0.227	0.552	148.3	96	28	197293	4
176	2007	The Infamous Stringdusters	Fork In The Road	0.597	0.304	0	-11.65	1	0.0337	0.86	0.0131	0.168	0.399	136.83	49	31	247667	3
177	2008	La Quinta Estacion	Acustico	0.609	0.756	3	-7.369	1	0.0562	0.102	0.0	0.959	0.461	128.761	66	45	265133	4
178	2011	Kendrick Lamar	Section.80	0.465	0.854	7	-7.564	1	0.377	0.429	0.0	0.618	0.199	85.126	91	52	227291	4
179	2012	Milo Greene	Milo Greene	0.486	0.558	5	-10.452	1	0.0273	0.413	4.52e-05	0.109	0.298	91.193	53	33	212160	4
180	2015	Xavier Wulf	Tundra Boy Season One	0.932	0.384	4	-9.621	1	0.305	0.119	0.0	0.0969	0.38	120.005	63	46	166844	4
181	2014	Various Artists	The Best Of Me (Original Motion Picture Soundtrack)	0.488	0.229	11	-10.031	1	0.0317	0.387	0.0	0.0803	0.288	151.571	8	46	230747	4
