	Track	Track_Popularity	Artist_Popularity
212	Sugar Shack	43	30
213	Still	35	39
214	Blue on Blue	39	58
215	Cry Baby	32	26
216	Two Faces Have I	30	35
217	Busted	24	68
218	Da Doo Ron Ron	55	53
219	Foolish Little Girl	35	55
220	Memphis	20	34
221	In Dreams	55	68
222	More	24	30
223	I Can't Stay Mad at You	23	48
224	Losing You	31	67
225	Mean Woman Blues	37	68
226	Our Winter Love	15	11
227	I Wanna Be Around	34	70
228	Sally Go 'Round the Roses	33	21
229	Those Lazy-Hazy-Crazy Days of Summer	42	72
230	Baby Workout	34	62
231	Pride and Joy	36	75
232	Deep Purple	35	24
233	From a Jack to a King	29	28
234	Up on the Roof	55	62
235	What Will My Mary Say	18	61
236	Mama Didn't Lie	25	14
237	The Night Has a Thousand Eyes	42	53
238	Ring of Fire	68	78
239	Just One Look	44	35
240	Hello Muddah, Hello Fadduh (A Letter from Camp)	23	30
241	Tie Me Kangaroo Down, Sport	25	29
242	Washington Square	22	23
243	Donna the Prima Donna	39	77
244	That Sunday, That Summer	26	72
245	Another Saturday Night	52	70
246	Painted, Tainted Rose	11	46
247	Go Away Little Girl	25	35
248	Take These Chains from My Heart	21	68
249	Talk to Me	21	18
250	Come and Get These Memories	28	61
251	Do the Bird	18	35
252	Shut Down	29	74
253	One Fine Day	58	49
254	Little Town Flirt	27	51
255	Fly Me to the Moon	20	21
256	The Reverend Mr. Black	4	41
257	Martian Hop	25	14
258	Wonderful! Wonderful!	15	34
259	Abilene	38	30
260	Part Time Love	5	17
261	Maria Elena	40	43
262	Detroit City	42	49
263	Twenty Miles	16	54
264	Green, Green	25	31
265	Hey Girl	25	36
266	I Want to Hold Your Hand	73	88
267	She Loves You	66	88
268	Hello, Dolly!	48	72
269	Oh, Pretty Woman	69	68
270	I Get Around	64	74
271	Everybody Loves Somebody	59	72
272	My Guy	64	57
273	Last Kiss	39	26
274	Where Did Our Love Go	62	67
275	People	37	68
276	Java	29	39
277	A Hard Day's Night	67	88
278	Love Me Do	67	88
279	Do Wah Diddy Diddy	63	58
280	Please Please Me	59	88
281	Dancing in the Street	54	61
282	Little Children	0	6
283	Under the Boardwalk	65	62
284	Chapel of Love	56	48
285	Suspicion	39	28
286	Glad All Over	15	29
287	Bread and Butter	40	28
288	It Hurts to Be in Love	32	46
289	Dead Man's Curve	38	43
290	Come a Little Bit Closer	67	55
291	A World Without Love	42	40
292	Have I the Right?	37	31
293	Baby Love	66	67
294	Wishin' and Hopin'	40	64
295	You Don't Own Me	57	53
296	Walk On By	60	63
297	The House of the Rising Sun	68	67
298	G.T.O.	34	23
299	Twist and Shout	74	88
300	Memphis	40	46
301	White On White	19	25
302	Hey Little Cobra	27	20
303	The Shoop Shoop Song (It's in His Kiss)	41	42
304	Bits and Pieces	0	29
305	My Boy Lollipop	35	38
306	Um, Um, Um, Um, Um, Um	49	50
307	The Little Old Lady from Pasadena	39	43
308	A Summer Song	48	39
309	The Girl from Ipanema	12	26
310	Can't Buy Me Love	0	88
311	Remember (Walking in the Sand)	17	45
312	Do You Want to Know a Secret	59	88
313	Keep On Pushing	38	53
314	Baby I Need Your Loving	0	18
315	Navy Blue	26	16
316	Diane	16	33
317	Out of Limits	49	37
318	Little Honda	5	14
319	Chug-a-Lug	43	53
320	See the Funny Little Clown	23	47
321	Because	27	29
322	(Just Like) Romeo and Juliet	26	0
323	Today	26	31
324	Leader of the Pack	52	45
325	Funny How Time Slips Away	12	8
326	The Way You Do the Things You Do	63	70
327	Anyone Who Had a Heart	39	63
328	I Love You More and More Every Day	24	46
329	Surfin' Bird	48	43
330	What Kind of Fool (Do You Think I Am)	29	33
331	The Door Is Still Open to My Heart	38	72
332	You Really Got Me	70	69
333	The Shelter of Your Arms	14	54
334	I Wanna Love Him So Bad	17	7
335	Dang Me	44	53
336	Cotton Candy	20	39
337	(You Don't Know) How Glad I Am	37	55
338	Money (That's What I Want)	32	53
339	Hi-Heel Sneakers	7	22
340	How Do You Do It?	25	51
341	Walk, Don't Run '64	22	49
342	Do You Love Me	0	29
343	Shangri-La	17	17
344	Haunted House	31	21
345	Steal Away	35	26
346	I Saw Her Standing There	67	88
347	A Fool Never Learns	20	70
348	Bad to Me	2	6
349	There! I've Said It Again	35	58
350	Louie Louie	66	53
351	Needles and Pins	56	50
352	Wooly Bully	52	45
353	I Can't Help Myself (Sugar Pie Honey Bunch)	62	66
354	(I Can't Get No) Satisfaction	75	81
355	You Were on My Mind	35	25
356	You've Lost That Lovin' Feelin'	29	61
357	Downtown	51	50
358	Help!	69	88
359	Crying in the Chapel	50	79
360	My Girl	77	70
361	Help Me, Rhonda	48	74
362	King of the Road	56	53
363	The Birds and the Bees	18	21
364	Hold Me, Thrill Me, Kiss Me	46	34
365	Shotgun	60	58
366	I Got You Babe	62	55
367	This Diamond Ring	49	43
368	The 'In' Crowd	45	40
369	Stop! In the Name of Love	63	67
370	Unchained Melody	65	61
371	Cara Mia	42	55
372	Mr. Tambourine Man	60	61
373	Cast Your Fate to the Wind	26	17
374	Yes, I'm Ready	49	43
375	Eve of Destruction	46	43
376	Hang On Sloopy	53	42
377	Ticket to Ride	64	88
378	Red Roses for a Blue Lady	41	48
379	Game of Love	38	32
380	The Name Game	27	40
381	I Know a Place	30	50
382	Back in My Arms Again	48	67
383	Baby I'm Yours	43	42
384	Hush, Hush, Sweet Charlotte	30	46
385	Like a Rolling Stone	70	76
386	Ferry Cross the Mersey	50	51
387	Just Once in My Life	29	61
388	A Walk in the Black Forest	34	30
389	For Your Love	58	56
390	California Girls	56	74
391	Go Now	45	61
392	Goldfinger	40	53
393	Down in the Boondocks	42	35
394	Baby the Rain Must Fall	23	29
395	Catch Us If You Can	9	29
396	Eight Days a Week	63	88
397	Just a Little	28	33
398	You Turn Me On	14	14
399	Save Your Heart for Me	27	43
400	Tired of Waiting for You	44	69
401	Count Me In	30	43
402	All Day and All of the Night	67	69
403	What the World Needs Now Is Love	48	43
404	She's About a Mover	0	35
405	Shake	28	70
406	Nowhere to Run	53	61
407	Heart Full of Soul	63	56
408	Love Potion No. 9	32	50
409	Laurie (Strange Things Happen)	14	24
410	Baby Don't Go	38	55
411	It Ain't Me Babe	37	61
412	Tell Her No	40	61
413	I Go to Pieces	38	40
414	Red Roses for a Blue Lady	30	22
415	The Tracks of My Tears	63	61
416	Too Many Rivers	19	67
417	I Like It Like That	0	29
418	Little Things	20	47
419	True Love Ways	41	40
420	Hold What You've Got	18	0
421	We Gotta Get out of This Place	49	67
422	Laugh, Laugh	35	33
423	The Last Time	50	81
424	Do You Believe in Magic	64	57
425	All I Really Want to Do	38	74
426	Take Me Back	25	45
427	I Want Candy	42	31
428	Ooo Baby Baby	55	61
429	Laugh at Me	24	56
430	Treat Her Right	23	15
431	The Race Is On	8	44
432	The Boy from New York City	30	25
433	Keep Searchin' (We'll Follow the Sun)	24	51
434	How Sweet It Is (To Be Loved by You)	54	75
435	Cherish	42	47
436	(You're My) Soul and Inspiration	7	61
437	Reach Out I'll Be There	52	66
438	96 Tears	52	41
439	Last Train to Clarksville	45	64
440	Monday, Monday	58	65
441	You Can't Hurry Love	72	67
442	Poor Side of Town	30	46
443	California Dreamin'	72	65
444	Summer In The City	61	57
445	Born Free	16	44
446	These Boots Are Made for Walkin'	65	63
447	What Becomes of the Brokenhearted	54	51
448	Strangers in the Night	65	80
449	We Can Work It Out	64	88
450	Good Lovin'	50	48
451	Winchester Cathedral	0	0
452	Hanky Panky	40	49
453	When a Man Loves a Woman	65	58
454	Paint It, Black	72	81
455	My Love	32	50
456	Lightnin' Strikes	35	35
457	Wild Thing	49	50
458	Kicks	38	45
459	Sunshine Superman	57	61
460	Sunny	60	48
461	Paperback Writer	60	88
462	See You In September	40	33
463	You Keep Me Hangin' On	58	67
464	Good Vibrations	68	74
465	A Groovy Kind of Love	23	32
466	You Don't Have To Say You Love Me	47	64
467	Cool Jerk	43	32
468	Born a Woman	16	27
469	Red Rubber Ball	43	36
470	B-A-B-Y	61	53
471	Walk Away Renée	42	31
472	Daydream	52	57
473	Time Won't Let Me	34	24
474	Hooray for Hazel	23	43
475	Sweet Pea	40	43
476	Bus Stop	53	63
477	Dirty Water	47	37
478	Elusive Butterfly	33	26
479	I Am a Rock	55	74
480	Crying Time	22	68
481	Secret Agent Man	42	46
482	The Sound of Silence	69	74
483	Lady Godiva	28	40
484	Homeward Bound	60	74
485	Did You Ever Have to Make Up Your Mind?	37	57
486	Barefootin'	34	45
487	Uptight (Everything's Alright)	56	78
488	Bang Bang (My Baby Shot Me Down)	41	74
489	Sloop John B	57	74
490	19th Nervous Breakdown	42	81
491	Wipe Out	42	41
492	Psychotic Reaction	52	42
493	Beauty Is Only Skin Deep	40	70
494	No Matter What Shape (Your Stomach's In)	25	14
495	Just Like Me	26	45
496	Love Makes the World Go Round	32	21
497	The Pied Piper	31	30
498	Coming On Strong	27	67
499	Somewhere My Love	42	50
500	Almost Persuaded	40	31
501	If I Were a Carpenter	17	61
502	Cherry, Cherry	49	69
503	Working In The Coal Mine	44	51
504	Message to Michael	30	63
505	Love Is a Hurtin' Thing	31	51
506	Barbara Ann	53	74
507	Gloria	35	32
508	My World Is Empty Without You	50	67
509	Rainy Day Women #12 & 35	48	76
510	Guantanamera	33	33
511	Land of 1000 Dances	61	63
512	Woman	28	40
513	You Baby	28	61
514	Five O'Clock World	33	40
515	Black Is Black	53	35
516	Nowhere Man	61	88
517	Baby Scratch My Back	25	36
518	The More I See You	43	45
519	I Fought the Law	54	45
520	Yellow Submarine	64	88
521	Hungry	26	45
522	Zorba the Greek	31	51
523	Shapes of Things	46	56
524	634-5789 (Soulsville, U.S.A.)	19	63
525	To Sir With Love	44	51
526	The Letter	62	51
527	Ode to Billie Joe	51	45
528	Windy	44	47
529	Light My Fire	70	76
530	Happy Together	72	61
531	Groovin'	55	48
532	Little Bit O' Soul	6	1
533	I Think We're Alone Now	52	49
534	Respect	71	75
535	I Was Made to Love Her	55	78
536	Come Back When You Grow Up	31	53
537	Kind of a Drag	41	37
538	Sweet Soul Music	57	46
539	Expressway to Your Heart	0	22
540	Soul Man	61	60
541	Never My Love	45	47
542	Apples, Peaches, Pumpkin Pie	35	23
543	Come on Down to My Boat	29	17
544	Incense and Peppermints	48	41
545	Ruby Tuesday	59	81
546	It Must Be Him	33	46
547	Love Is Here and Now You're Gone	33	67
548	For What It's Worth	73	62
549	Gimme Little Sign	48	56
550	The Happening	41	67
551	All You Need Is Love	64	88
552	Release Me	47	58
553	Your Precious Love	30	0
554	Somebody to Love	67	63
555	Get on Up	19	19
556	Brown Eyed Girl	78	74
557	Jimmy Mack	60	61
558	I Got Rhythm	22	33
559	A Whiter Shade of Pale	65	54
560	Then You Can Tell Me Goodbye	21	21
561	Reflections	51	67
562	On a Carousel	39	63
563	Please Love Me Forever	45	58
564	Alfie	32	63
565	My Cup Runneth Over	34	28
566	Up, Up and Away	42	50
567	San Francisco (Be Sure to Wear Flowers in Your Hair)	54	53
568	The Rain, The Park & Other Things	49	40
569	Mercy, Mercy, Mercy	32	37
570	This Is My Song	32	50
571	(Your Love Keeps Lifting Me) Higher and Higher	71	62
572	Penny Lane	62	88
573	Georgy Girl	54	50
574	Western Union	27	19
575	Baby I Love You	49	75
576	A Little Bit Me, a Little Bit You	42	64
577	California Nights	25	53
578	Dedicated to the One I Love	52	65
579	How Can I Be Sure	36	48
580	Carrie Anne	46	63
581	(We Ain't Got) Nothin' Yet	33	29
582	Friday on My Mind	57	46
583	Soul Finger	39	49
584	Gimme Some Lovin'	56	56
585	Let It Out (Let It All Hang Out)	30	21
586	Let's Live for Today	26	56
587	Close Your Eyes	30	45
588	Groovin'	23	58
589	Funky Broadway	34	63
590	Pleasant Valley Sunday	40	64
591	I Never Loved a Man (The Way I Love You)	52	75
592	Tell It Like It Is	48	56
593	Cold Sweat	30	67
594	98.6	25	75
595	Here We Go Again	49	68
596	White Rabbit	68	63
597	Bernadette	40	66
598	The Beat Goes On	49	55
