	Year	Artist	Track	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Duration_ms	Time_Signature
44	1960	Johnny Preston	Cradle of Love	0.477	0.506	6	-11.669	0	0.0696	0.683	2.15e-05	0.0538	0.868	174.525	140320	4
45	1960	Marv Johnson	You Got What It Takes	0.697	0.597	7	-13.186	1	0.103	0.752	0.0	0.337	0.959	136.397	163387	4
46	1960	Hank Locklin	Please Help Me, I'm Falling	0.552	0.336	7	-10.712	1	0.0311	0.828	0.0	0.324	0.553	105.479	141467	4
47	1960	Ron Holden	Love You So	0.634	0.275	3	-11.417	1	0.0348	0.89	0.00111	0.137	0.581	127.294	208040	4
48	1960	Hank Ballard and The Midnighters	Finger Poppin' Time	0.491	0.591	0	-13.492	1	0.0363	0.112	0.00564	0.19	0.686	78.009	111827	4
49	1960	The Platters	Harbor Lights	0.26	0.29	5	-13.38	1	0.0293	0.913	0.000649	0.153	0.303	78.797	194867	4
50	1960	Billy Bland	Let the Little Girl Dance	0.585	0.527	5	-9.551	1	0.0716	0.255	0.0	0.361	0.965	143.418	143099	4
51	1960	Jeanne Black	He'll Have to Stay	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
52	1960	Ferrante & Teicher	Theme From The Apartment	0.886	0.399	2	-13.913	0	0.0599	0.295	0.254	0.0974	0.723	118.949	147467	4
53	1960	Bobby Rydell	Volare	0.512	0.64	9	-6.125	0	0.0345	0.67	0.0	0.128	0.862	129.612	146067	4
54	1960	Jimmy Charles	A Million to One	0.285	0.199	10	-16.101	1	0.0328	0.72	0.0	0.254	0.454	102.838	152360	3
55	1960	Andy Williams	The Village of St. Bernadette	0.235	0.198	8	-14.609	1	0.03	0.912	1.63e-06	0.25	0.229	87.256	203600	3
56	1960	Bill Black's Combo	White Silver Sands	0.895	0.608	0	-7.224	1	0.0391	0.558	0.14	0.0659	0.96	117.705	154427	4
57	1960	The Browns	The Old Lamp-Lighter	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
58	1960	Bobby Vee	Devil or Angel	0.409	0.258	5	-15.453	1	0.0438	0.82	0.0	0.157	0.639	78.272	140040	3
59	1960	The Four Preps	Down by the Station	0.754	0.442	3	-15.178	1	0.0403	0.324	0.0	0.0634	0.971	118.641	172067	4
60	1960	The Little Dippers	Forever	0.519	0.45	5	-9.133	1	0.0244	0.281	6.12e-06	0.152	0.549	72.115	143161	4
61	1960	The Safaris & The Phantom's Band	Image of a Girl	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
62	1960	Brook Benton	Kiddio	0.79	0.286	3	-12.206	1	0.0795	0.702	3.17e-06	0.201	0.743	112.425	152323	4
63	1960	Donnie Brooks	Mission Bell	0.572	0.418	2	-12.757	1	0.0528	0.844	0.283	0.222	0.592	81.481	143960	4
64	1960	Marv Johnson	I Love The Way You Love	0.72	0.692	9	-12.797	1	0.0669	0.66	1.66e-06	0.314	0.851	134.616	159840	4
65	1960	Paul Anka	It's Time to Cry	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
66	1960	Ray Peterson	Tell Laura I Love Her	0.528	0.394	10	-11.235	1	0.0368	0.751	0.0	0.173	0.297	102.898	174693	4
67	1960	Connie Francis	Mama	0.156	0.229	0	-12.475	1	0.0394	0.958	0.0154	0.439	0.12	50.975	235893	4
68	1960	Steve Lawrence	Footsteps	0.515	0.539	2	-10.37	0	0.0347	0.571	0.0	0.424	0.891	144.134	132520	4
69	1960	The Everly Brothers	So Sad	0.477	0.196	4	-15.689	1	0.0299	0.655	0.0	0.172	0.405	102.363	156573	4
70	1960	Brenda Lee	That's All You Gotta Do	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
71	1960	Fats Domino	Walking to New Orleans	0.579	0.294	1	-14.61	1	0.0458	0.491	0.0	0.105	0.676	80.75	118467	4
72	1960	Connie Francis	Among My Souvenirs	0.472	0.483	9	-6.218	1	0.0268	0.414	6.88e-06	0.193	0.473	108.25	151280	3
73	1960	Bobby Rydell	Swingin' School	0.526	0.772	5	-5.38	1	0.0342	0.534	2.31e-06	0.0924	0.965	149.92	134000	3
74	1960	Dinah Washington & Brook Benton	A Rockin' Good Way (To Mess Around and Fall in Love)	0.791	0.529	3	-10.655	1	0.0515	0.831	3.58e-05	0.175	0.964	130.267	148227	4
75	1960	Neil Sedaka	Stairway to Heaven	0.492	0.646	5	-11.736	1	0.036	0.904	0.0	0.28	0.898	126.814	160893	4
76	1960	Paul Anka	My Home Town	0.79	0.514	11	-10.743	0	0.0362	0.223	0.0	0.14	0.962	117.022	126293	4
77	1960	Ray Charles	Georgia on My Mind	0.258	0.248	7	-11.452	1	0.0299	0.652	0.0	0.16	0.196	104.834	216920	3
78	1960	Skip and Flip	Cherry Pie	0.499	0.254	10	-16.861	0	0.0392	0.629	6.81e-06	0.0877	0.492	86.029	140382	4
79	1960	Sam Cooke	Wonderful World	0.691	0.507	11	-10.23	1	0.0343	0.627	0.0	0.457	0.885	128.518	125440	4
80	1960	Spencer Ross	Tracy's Theme	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
81	1960	Lloyd Price	Lady Luck	0.628	0.613	5	-6.434	1	0.032	0.627	0.0	0.249	0.745	122.256	138733	4
82	1960	The Crests	Step by Step	0.841	0.411	0	-10.767	1	0.305	0.347	0.0	0.137	0.926	105.38	145293	4
83	1960	Paul Evans	Happy-Go-Lucky Me	0.717	0.545	9	-10.97	1	0.048	0.809	0.0554	0.243	0.962	93.888	117253	4
84	1960	Ricky Nelson	Young Emotions	0.396	0.338	7	-9.145	0	0.0341	0.758	2.62e-06	0.117	0.375	116.543	155733	3
85	1960	Johnny Burnette	Dreamin'	0.507	0.454	9	-9.838	1	0.0545	0.796	1.09e-05	0.352	0.746	75.17	141493	4
86	1960	Johnny Tillotson	Poetry in Motion	0.477	0.703	8	-7.332	1	0.0326	0.433	0.0	0.0908	0.875	135.342	154467	4
87	1960	Annette Funicello	O Dio Mio	0.378	0.439	5	-7.935	1	0.0303	0.237	7.85e-06	0.098	0.422	115.626	171427	4
88	1960	Joe Jones	You Talk Too Much	0.719	0.639	8	-9.229	1	0.0376	0.797	1.43e-05	0.075	0.727	128.272	152707	1
89	1960	Johnny and the Hurricanes	Beatnik Fly	0.585	0.809	5	-9.436	1	0.0328	0.324	0.883	0.12	0.943	88.94	134773	4
90	1960	The Everly Brothers	When Will I Be Loved	0.585	0.472	11	-10.553	1	0.0283	0.184	0.0	0.244	0.848	118.179	127400	4
91	1960	Bob Luman	Let's Think About Livin	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
92	1960	Guy Mitchell	Heartaches by the Number	0.584	0.589	5	-11.203	1	0.0718	0.463	1.53e-05	0.069	0.842	172.484	154296	4
93	1960	Anita Bryant	My Little Corner of the World	0.532	0.293	9	-11.052	0	0.0296	0.727	2.92e-06	0.143	0.422	113.421	150280	4
94	1960	Jackie Wilson	Doggin' Around	0.541	0.366	5	-9.19	1	0.0252	0.938	0.445	0.107	0.425	94.809	173027	3
95	1960	Bobby Rydell	Little Bitty Girl	0.596	0.627	1	-6.117	1	0.0395	0.614	0.0	0.14	0.838	121.156	145360	4
96	1960	Barrett Strong	Money (That's What I Want)	0.642	0.924	5	-3.094	1	0.0348	0.27	0.0	0.166	0.937	132.374	157947	4
97	1960	Maurice Williams and the Zodiacs	Stay	0.555	0.404	7	-14.187	0	0.0621	0.842	0.0	0.218	0.736	120.509	94907	4
98	1960	Charlie Rich	Lonely Weekends	0.426	0.9	5	-6.469	1	0.12	0.726	0.000342	0.162	0.571	183.461	127697	4
99	1960	Larry Hall	Sandy	0.633	0.484	0	-8.507	1	0.0269	0.47	0.000141	0.1	0.814	80.543	145027	4
