,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track_Popularity,Artist_Popularity,Duration_ms,Time Signature
41,2004,Trans-Siberian Orchestra,This Christmas Day,0.306,0.547,3,-9.767,1,0.0308,0.175,2.96e-05,0.112,0.356,93.782,31,61,260133,4
42,2007,Patton Oswalt,Beautiful People And A Bridge Troll,0.679,0.615,8,-9.669,1,0.926,0.812,0.0,0.658,0.665,51.779,27,52,186293,4
43,2001,Pedro Infante,Cien años,0.529,0.251,7,-11.289,1,0.031,0.896,0.00383,0.108,0.56,103.846,36,60,213467,4
44,2012,Aer,Floats My Boat,0.87,0.718,2,-5.436,0,0.176,0.0278,0.0,0.0328,0.682,85.01,58,78,206160,4
45,2014,Letters from the Fire,Eleanor Rigby,0.471,0.901,0,-5.276,1,0.0664,4.06e-05,0.0,0.121,0.452,133.027,39,41,170700,4
46,2011,Florence + The Machine,Bedroom Hymns,0.532,0.866,4,-4.44,0,0.0452,0.0762,7.34e-06,0.335,0.233,106.026,30,79,181120,4
47,2004,Ja Rule,Life Goes On,0.794,0.659,1,-4.696,1,0.173,0.294,0.0,0.0589,0.547,90.094,28,73,292432,4
48,2004,zebrahead,Over the Edge,0.509,0.974,7,-3.06,1,0.144,0.00158,0.0,0.134,0.584,149.933,30,53,165640,4
49,2009,Chris Brown,I Love U,0.531,0.652,2,-6.771,1,0.194,0.0163,2.91e-06,0.313,0.6,133.117,37,89,182227,5
50,2009,Jim Gaffigan,Recycling,0.518,0.933,9,-7.337,1,0.949,0.805,0.0,0.96,0.194,77.457,33,60,243120,3
51,2013,Yeng Constantino,Chinito,0.841,0.69,1,-5.415,0,0.0399,0.216,0.0123,0.363,0.73,127.986,49,62,226877,4
52,2008,Bun B,You're Everything,0.474,0.663,1,-6.196,1,0.129,0.0195,0.0,0.544,0.141,88.064,44,63,276640,5
53,2008,Silvio Rodríguez y Pablo Milanés,Yolanda (En Vivo),0.654,0.123,5,-13.393,1,0.0378,0.858,6.34e-06,0.571,0.332,108.781,51,33,270160,4
54,2003,Yeah Yeah Yeahs,Modern Romance,0.324,0.427,9,-9.108,1,0.0271,0.291,4.5e-05,0.145,0.0389,137.299,42,66,191366,4
55,2001,Cri-Cri,Caminito de la Escuela,0.747,0.297,0,-10.068,1,0.104,0.707,0.0,0.0823,0.683,83.785,44,52,142227,4
56,2003,Joshua Bell,The Girl with Flaxen Hair,0.229,0.114,7,-20.775,1,0.0464,0.977,0.88,0.0645,0.0391,86.823,26,57,156307,3
57,2005,Nickel Creek,Eveline,0.452,0.283,5,-11.871,1,0.0328,0.619,0.0715,0.103,0.0866,142.964,25,51,191080,4
58,2007,Broken Iris,A New Hope,0.163,0.657,2,-5.278,0,0.037,0.187,3.66e-05,0.112,0.136,59.522,41,37,245227,4
59,2010,Hillsong Worship,Worthy Is The Lamb - Live,0.433,0.591,9,-6.284,1,0.0291,0.248,7.24e-05,0.101,0.199,143.94,31,77,362707,4
60,2001,Robbie Williams,One For My Baby,0.534,0.181,9,-14.726,1,0.0307,0.967,0.000165,0.261,0.288,97.602,42,74,257960,4
61,2007,Broken Iris,The Scar,0.268,0.863,8,-4.566,1,0.104,0.0463,5.36e-05,0.106,0.228,120.058,31,37,223747,4
62,2013,Born Of Osiris,Machine,0.443,0.991,1,-3.458,1,0.281,0.00398,0.000579,0.106,0.0519,155.045,51,53,264774,4
63,2010,Bring Me The Horizon,Blessed With A Curse,0.323,0.697,7,-7.23,0,0.0965,0.0131,0.00376,0.52,0.0756,130.019,48,77,308040,4
64,2014,Various Artists,The Red Circle,0.69,0.824,1,-7.529,1,0.0377,7.08e-06,0.812,0.0976,0.689,120.046,34,8,59973,4
65,2006,Yoskar Sarante,No Tengo Suerte En El Amor,0.907,0.691,10,-5.925,0,0.0388,0.0956,4.91e-05,0.0708,0.915,132.161,56,50,240720,4
66,2003,The RH Factor,Juicy,0.606,0.343,0,-12.022,1,0.0492,0.596,0.524,0.529,0.512,74.637,33,48,394947,4
67,2002,Jurassic 5,A Day At The Races - Album Version (Edited),0.843,0.794,6,-6.174,0,0.203,0.12,7.94e-06,0.592,0.662,112.692,28,57,242556,4
68,2000,Karl Amadeus Hartmann,1. Lento assai - con passione,0.186,0.0919,1,-20.914,1,0.0443,0.89,0.873,0.11,0.0347,113.548,21,18,946293,4
69,2013,We Came As Romans,Understanding What We've Grown to Be,0.183,0.983,11,-2.527,1,0.152,0.00012,0.0398,0.275,0.419,145.149,36,61,255347,4
70,2012,Two Door Cinema Club,Someday,0.485,0.913,9,-4.614,0,0.0351,8.84e-06,0.664,0.199,0.665,144.02,42,72,223120,4
71,2001,Los Hermanos Banda De Salamanca,Carino De Mi Vida,0.835,0.779,7,-5.745,1,0.0603,0.204,0.000433,0.0169,0.95,111.469,21,37,172453,4
72,2017,Young Pappy,Killa,0.676,0.787,0,-6.175,0,0.246,0.199,0.0,0.175,0.601,119.986,52,50,203012,4
73,2015,Falls,When We Were Young,0.556,0.762,5,-4.858,1,0.0255,0.0596,0.000159,0.128,0.601,104.998,52,41,198600,4
74,2017,KILLY,Forecast,0.69,0.491,1,-7.01,0,0.095,0.0329,0.0,0.163,0.458,164.894,56,69,157947,4
75,2005,Maysa,I Can't Help It,0.74,0.698,6,-7.069,1,0.0449,0.438,0.0,0.0945,0.745,98.928,29,42,259093,4
76,2016,Out Of Gravity,Cosmic Awareness,0.566,0.139,0,-22.174,0,0.0371,0.829,0.937,0.112,0.295,141.963,53,50,268926,4
77,2016,Jeff Rosenstock,Festival Song,0.442,0.925,5,-4.848,1,0.0673,0.0776,0.0,0.241,0.774,165.285,41,51,174222,4
78,2000,Duster,Everything You See (Is Your Own),0.458,0.834,1,-6.52,0,0.0287,0.000596,0.855,0.117,0.643,81.738,22,43,160173,4
79,2006,The Wood Brothers,Atlas,0.582,0.44,0,-9.165,1,0.102,0.842,0.0209,0.0951,0.758,184.333,31,62,200533,4
80,2001,Alejandro Sanz,Lo Que Fui Es Lo Que Soy - unplugged,0.538,0.882,0,-6.536,1,0.0959,0.504,7.68e-06,0.996,0.386,138.31,38,78,321840,4
81,2012,Gramatik,Illusion of Choice,0.714,0.755,2,-5.179,1,0.0358,0.00185,0.697,0.197,0.462,144.997,37,62,298175,4
82,2012,Lamb of God,Straight For The Sun,0.386,0.748,4,-5.938,1,0.0699,6.07e-06,0.614,0.308,0.438,79.913,37,66,146653,4
